col,imp
AB,0.6425291
AF,0.8833295
AH,0.77854824
AM,0.65822077
AR,0.8713801
AX,0.8065802
AY,0.21602167
AZ,0.5203651
BC,0.6736377
BD ,0.73425084
BN,0.93974596
BP,0.55766934
BQ,0.36984164
BR,0.95027536
BZ,1.0000001
CB,0.81991214
CC,0.7040924
CD ,0.76420814
CF,0.8330342
CH,0.5007623
CL,0.85866606
CR,0.97743386
CS,0.4152975
CU,0.71918637
CW ,0.2959134
DA,0.89493126
DE,0.9065053
DF,0.91807264
DH,0.6267687
DI,0.9290761
DL,1.0000001
DN,0.3459142
DU,0.063012764
DV,0.53916544
DY,0.45924583
EB,0.32132015
EE,0.59338427
EG,0.43737403
EH,0.27019504
EJ,1.0000001
EL,0.95979863
EP,0.18835844
EU,0.7492347
FC,0.68895715
FD ,0.11491551
FE,0.9687649
FI,0.98592573
FL,0.16040254
FR,0.57573074
FS,0.8459104
GB,0.3932143
GE,0.99354494
GF,0.79259753
GH,0.48022285
GI,0.610401
GL,0.24323048
